Accession_ID	Genotype	Date	Host	Continent	Country	City	Longitude	Latitude
EPI_ISL_17456758	I-WestAfrica	2016-07-20	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456759	I-WestAfrica	2017-07-17	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456762	I-WestAfrica	2017-08-01	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456765	I-WestAfrica	2016-02-29	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456768	I-WestAfrica	2017-08-22	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456770	I-WestAfrica	2016-06-06	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456771	I-WestAfrica	2017-08-02	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456772	I-WestAfrica	2017-07-17	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456777	I-WestAfrica	2016-06-03	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456778	I-WestAfrica	2017-06-29	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456780	I-WestAfrica	2016-05-24	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456782	I-WestAfrica	2016-06-06	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456784	I-WestAfrica	2017-08-23	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_17456942	I-WestAfrica	2017-08-23	Human	South America	Brazil	Bahia	-38.5	-12.9
EPI_ISL_17456949	I-WestAfrica	2017-06-05	Human	South America	Brazil	Bahia	-38.5	-12.9
EPI_ISL_17460261	I-WestAfrica	2017-01-31	Human	Asia	India	West Bengal	88.4	22.6
EPI_ISL_17460717	I-WestAfrica	2015-11-17	Human	South America	Brazil	NA	-47	-15.8
EPI_ISL_18498014	I-WestAfrica	2023-08-25	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498015	I-WestAfrica	2023-08-25	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498016	I-WestAfrica	2023-08-24	Human	Africa	Senegal	NA	-14.5	14.5
EPI_ISL_18498017	I-WestAfrica	2023-08-25	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498019	I-WestAfrica	2023-08-21	Human	Africa	Senegal	Bandafassi	-12.3	12.5
EPI_ISL_18498021	I-WestAfrica	2023-08-24	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498022	I-WestAfrica	2023-08-24	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498026	I-WestAfrica	2023-08-21	Human	Africa	Senegal	Bandafassi	-12.3	12.5
EPI_ISL_18498028	I-WestAfrica	2023-08-13	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498029	I-WestAfrica	2023-08-24	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498030	I-WestAfrica	2023-08-12	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498031	I-WestAfrica	2023-08-18	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498032	I-WestAfrica	2023-08-18	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498034	I-WestAfrica	2023-08-21	Human	Africa	Senegal	Bandafassi	-12.3	12.5
EPI_ISL_18498035	I-WestAfrica	2023-08-17	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498036	I-WestAfrica	2023-08-23	Human	Africa	Senegal	Bandafassi	-12.3	12.5
EPI_ISL_18498037	I-WestAfrica	2023-08-21	Human	Africa	Senegal	Bandafassi	-12.3	12.5
EPI_ISL_18498038	I-WestAfrica	2023-08-23	Human	Africa	Senegal	Ndiourmi	-15.1	15
EPI_ISL_18498039	I-WestAfrica	2023-08-21	Human	Africa	Senegal	Bandafassi	-12.3	12.5
EPI_ISL_18992743	I-WestAfrica	2019-09-19	Human	Asia	China	NA	104	35.9
EPI_ISL_19557244	I-WestAfrica	2024-07-19	Human	Europe	France	NA	2.2	46.2
EPI_ISL_19557246	I-WestAfrica	2024-07-07	Human	Africa	Cote d'Ivoire	NA	-5.5	7.5
EPI_ISL_19557247	I-WestAfrica	2024-05-25	Human	Africa	Cote d'Ivoire	NA	-5.5	7.5
EPI_ISL_19557249	I-WestAfrica	2023-06-21	Human	Africa	Cote d'Ivoire	NA	-5.5	7.5
EPI_ISL_19557251	I-WestAfrica	2024-07-16	Human	Africa	Cote d'Ivoire	NA	-5.5	7.5
EPI_ISL_19557253	I-WestAfrica	2023-08-10	Human	Africa	Cote d'Ivoire	NA	-5.5	7.5
EPI_ISL_19557255	I-WestAfrica	2024-07-19	Human	Africa	Cote d'Ivoire	NA	-5.5	7.5
EPI_ISL_19557257	I-WestAfrica	2024-07-22	Human	Africa	Cote d'Ivoire	NA	-5.5	7.5
EPI_ISL_20146493	I-WestAfrica	2023-08-24	Human	Africa	Senegal	Dakar	-17.5	14.7
EPI_ISL_20234450	I-WestAfrica	2023-09-21	Human	South America	Brazil	Rio de Janeiro	-43.2	-22.9
